CANONICAL_SMILES,REFERENCE_ID,NAME,DOI,LINK,ORGANISM,ORGANISM_PART,COCONUT_ID,MOL_FILENAME,STRUCTURAL_COMMENTS,GEO_LOCATION,LOCATION
COC1=CN=C(CCC(=O)C2=NC=CC3=C2NC2=CC=CC=C23)C2=C1C1=C(C=CC=C1)N2,467,Simarubaceae,10.1055/s-0032-1327883,http://www.inflamnat.com/#/main/search/detail?id=467,Simarubaceae,,,,,,
COC1=CC2=C(C=C1)N1C(=O)C=CC3=NC=CC2=C31,474,Amaranthaceae,10.3109/08923973.2011.586703,http://www.inflamnat.com/#/main/search/detail?id=474,Amaranthaceae,,,,,,
O=C1C=CC2=NC=CC3=C2N1C1=CC=CC=C31,476,Simaroubaceae,10.1016/j.ejphar.2013.02.008,http://www.inflamnat.com/#/main/search/detail?id=476,Simaroubaceae,,,,,,
COC1=CC=C2CC3C4=C(C=C(OC)C(O)=C4C2=C1O)CC[N+]3(C)C,547,Menispermaceae,10.1055/a-0637-9936,http://www.inflamnat.com/#/main/search/detail?id=547,Menispermaceae,,,,,,
CN1CCC2=C3C(=C4OCOC4=C2)C2=C(C[C@H]31)C(O)=CC=C2,498,Annonaceae,10.1016/j.fitote.2018.02.001,http://www.inflamnat.com/#/main/search/detail?id=498,Annonaceae,,,,,,
NCCC1=CC(O)=C(O)C=C1,508,Portulacaceae,10.1021/acs.jnatprod.7b00762.s001,http://www.inflamnat.com/#/main/search/detail?id=508,Portulacaceae,,,,,,
OC1=C(O)C=C2C(C3=CC=CO3)=NCCC2=C1,509,Portulacaceae,10.1021/acs.jnatprod.7b00762.s001,http://www.inflamnat.com/#/main/search/detail?id=509,Portulacaceae,,,,,,
O=C1CC[C@H]2C3=CC(O)=C(O)C=C3CCN12,510,Portulacaceae,10.1021/acs.jnatprod.7b00762.s001,http://www.inflamnat.com/#/main/search/detail?id=510,Portulacaceae,,,,,,
CCOC(=O)CC[C@@H]1NCCC2=CC(O)=C(O)C=C21,511,Portulacaceae,10.1021/acs.jnatprod.7b00762.s001,http://www.inflamnat.com/#/main/search/detail?id=511,Portulacaceae,,,,,,
CC(=O)O[C@@H]1CN(C)CC[C@H]1C1=C(O)C=C(O)C2=C1OC(C)=CC2=O,56,Meliaceae,10.1016/j.tetlet.2017.09.005,http://www.inflamnat.com/#/main/search/detail?id=56,Meliaceae,,,,,,
